pid,playerName,draftSeason,date_added
1473,Oliver Cornwall,77,2026-01-04
1469,Louis Bélanger,77,2026-01-04
1462,Yuri Boyka III,77,2026-01-04
1454,Nor Ge,77,2026-01-04
1453,Gwendolyn Telenn,77,2026-01-04
1452,Jefferson Steelflex,77,2026-01-04
1446,AT-AT Wøllker,77,2026-01-04
1445,Hockey Player,77,2026-01-04
1443,Elvar Gil-Galad,77,2026-01-04
1423,Sam Volta,77,2026-01-04
1419,Roquefort Cotswold,77,2026-01-04
1416,Swedish Chef,77,2026-01-04
1386,Blade Hunter,76,2026-01-04
1381,Jamie Fraser,76,2026-01-04
1380,Ylib Kove,76,2026-01-04
1377,Max Belcher,76,2026-01-04
1375,Scar Bealey,76,2026-01-04
1370,Brayden Point,76,2026-01-04
1362,Stavros Kondos,76,2026-01-04
1357,Robo Sven,76,2026-01-04
1354,Deth Klaw,76,2026-01-04
1353,Nathangus McExplosion,76,2026-01-04
1349,Matviy Cajabi,76,2026-01-04
1344,Alexa Johansen,76,2026-01-04
1337,Jennifer Huh,76,2026-01-04
1289,Demir Bellona,75,2026-01-04
1271,Slava-Ukraini Heroyam-Slava,75,2026-01-04
1267,Ongo Gablogian,75,2026-01-04
1259,Pinli Switchbang,75,2026-01-04
1253,Literally Wizard,75,2026-01-04
1246,Teemu Salami,75,2026-01-04
1243,Edouard Lavoie,75,2026-01-04
1242,Journey Man,75,2026-01-04
1235,Song Ju-gong,75,2026-01-04
1348,Will Nuck,76,2026-01-04
1336,James Howlett,76,2026-01-04
1301,Violet Stoica,75,2026-01-04
1266,Eric Vanderberg Jr,75,2026-01-04
1245,Mia Lavoie,75,2026-01-04
1218,Troy McClure IIII,74,2026-01-04
1202,Céleste Desjardins,74,2026-01-04
1195,Marek Carda,74,2026-01-04
1192,Leonard Wood,74,2026-01-04
1190,Juan Tymer,74,2026-01-04
1185,Langston Hardison-Laurent,74,2026-01-04
1180,Squidwardo Tentaclés,74,2026-01-04
1173,Shadow Fenix,74,2026-01-04
1172,Frøya Solberg,74,2026-01-04
1171,Sonja Solberg,74,2026-01-04
658,Shawn Pawn,74,2026-01-04
645,Dag-Otto Björntjänst,74,2026-01-04
644,Cal Juice,74,2026-01-04
643,Will Tomlander,74,2026-01-04
594,Jani Mänty,73,2026-01-04
1159,Mikkel Enevoldsen,74,2026-01-04
637,Gordon-William Gibbles,74,2026-01-04
623,Kristian Seppanen,73,2026-01-04
618,Ho Lee-Smokes,73,2026-01-04
613,Prince Marius,73,2026-01-04
606,Guy Incognito,73,2026-01-04
601,Jae-ik Barron,73,2026-01-04
600,Dunkler Sowerwine,73,2026-01-04
590,Jussi Mutou,73,2026-01-04
573,Lily Jin Morrow,73,2026-01-04
569,Betzee Nickelback,73,2026-01-04
568,Florian Söderberg-Motyla,73,2026-01-04
1154,Rodrigo Banes,74,2026-01-04
1092,Bernard Lodge,72,2026-01-04
612,Sad Ketchup,73,2026-01-04
608,Brooklyn Physt,73,2026-01-04
575,Xavier Beausoleil,73,2026-01-04
557,Westley Kirkpatrick,72,2026-01-04
547,Jaromir Jagrbomb,72,2026-01-04
544,Zedward Zilliams,72,2026-01-04
528,Alexandros Mograine,72,2026-01-04
496,Trevor Lahey,72,2026-01-04
471,Furious Chicken,71,2026-01-04
583,Ubba Lodbrok,73,2026-01-04
577,Mac Turner,73,2026-01-04
462,Logan Webb,71,2026-01-04
451,Jay Bryzi,71,2026-01-04
426,Dominik Winters,71,2026-01-04
1071,"Rhett ""Shaggy"" Carpet",70,2026-01-04
1070,Tibuk Soonika,70,2026-01-04
461,Oliver Castillon,71,2026-01-04
418,Mercedes Baylé,71,2026-01-04
392,Elena Maximova,70,2026-01-04
391,Willow Söderberg-Snooks,70,2026-01-04
386,Ace Lightning,70,2026-01-04
383,Sydney Shaw,70,2026-01-04
361,Tony Soprano,70,2026-01-04
476,Filip Svatos,71,2026-01-04
433,Levin Schattenaxt,71,2026-01-04
390,Gnabe Dabson,70,2026-01-04
384,Nathan Cormier,70,2026-01-04
365,Daniel Grumathan,70,2026-01-04
353,Jiggle E. Puff,70,2026-01-04
343,Jack McCarthy,69,2026-01-04
338,Georg N'Zola,69,2026-01-04
333,Billy Herrington,69,2026-01-04
331,Pork Tenderloin,69,2026-01-04
293,Peter Tingle,69,2026-01-04
292,Antoine Beauregard,69,2026-01-04
291,Oskar Scholz,69,2026-01-04
286,Chris Valentine,68,2026-01-04
282,Nathaniel Barca,68,2026-01-04
1064,Grzegorz Brzęczyszczykiewicz,69,2026-01-04
369,Lasse Zeigler,70,2026-01-04
298,Luca Pane,69,2026-01-04
285,Lester Oiduser,68,2026-01-04
281,Toasty,68,2026-01-04
280,Nash Topalo,68,2026-01-04
273,Cale Salad,68,2026-01-04
269,Erik Bergmark,68,2026-01-04
265,Ekaterina Valieva,68,2026-01-04
263,Derek Martin,68,2026-01-04
261,Viktor Hargreeves,68,2026-01-04
258,Marton Diehm,68,2026-01-04
256,Jarrod Lakemore,68,2026-01-04
225,Adam Prpich,67,2026-01-04
248,Nevek Kove,67,2026-01-04
274,John Brown,68,2026-01-04
260,Adam Liebold,68,2026-01-04
241,Antonio Flusso,67,2026-01-04
239,Hodor,67,2026-01-04
234,Axel Kirby,67,2026-01-04
222,Jack St. Clair,67,2026-01-04
1047,Anthony Dionne,66,2026-01-04
277,Filip Lund,68,2026-01-04
228,Meta Knight,67,2026-01-04
221,Dusty Rhodes,67,2026-01-04
219,Philippe-Eko Eel,66,2026-01-04
217,Julian Flörsch,66,2026-01-04
209,Graj Virrok,66,2026-01-04
207,Benson Fiorentini,66,2026-01-04
193,Tom Pedersen,66,2026-01-04
191,Rikkert Biemans,66,2026-01-04
151,M'Baku Olubori,65,2026-01-04
1048,Sir Devoir,66,2026-01-04
1043,BASE PACK,65,2026-01-04
1038,Justin Time,64,2026-01-04
242,Isaac Forty-One,67,2026-01-04
215,Emil Egli,66,2026-01-04
213,Tommi Koivu,66,2026-01-04
196,Eggward Elric,66,2026-01-04
188,Seamus O'Slapahan,65,2026-01-04
186,Pass Forfeit,65,2026-01-04
167,Ricky Koivu,65,2026-01-04
162,Benjamin Surkhi-Ze'ev,65,2026-01-04
156,Lord Farquaads,65,2026-01-04
155,Reed Kobo,65,2026-01-04
153,Luke Laraque,65,2026-01-04
135,Red Kirkby,64,2026-01-04
134,Mads McBride,64,2026-01-04
172,Sophie Bordeleau,65,2026-01-04
150,Louise St. Martin,64,2026-01-04
145,Binko Koivu,64,2026-01-04
130,Evan Winter,64,2026-01-04
126,San-sam Emerson,63,2026-01-04
122,Lias Ekholm-Gunnarsson,63,2026-01-04
1034,Rebecca Montagne,62,2026-01-04
165,Matsmith Söderberg-Tremblay,65,2026-01-04
120,Ivan Lacksamus,63,2026-01-04
116,Jay O'Neil,62,2026-01-04
113,Ben Jammin,62,2026-01-04
110,Mikko Rashford,62,2026-01-04
104,Shōyō Hinata,62,2026-01-04
1033,Brick Wall,62,2026-01-04
117,Zayne Dangle,62,2026-01-04
114,Dirty Boots,62,2026-01-04
111,Christian Kinsinger,62,2026-01-04
109,Wendolene Ramsbottom,62,2026-01-04
108,Yannick Svoboda,62,2026-01-04
107,Aksel Fiske,62,2026-01-04
102,Spack Jarrow,62,2026-01-04
100,Viktor Krunk,62,2026-01-04
90,Patya Perevalov,61,2026-01-04
